fusion_type,dataset,metric,mean,std,median
concat,eval,mse,0.10494301354755527,0.0442341362626208,0.09121134132146835
concat,eval,mae,0.22678695370753607,0.04045280182681657,0.2143860285480817
concat,eval,ssim,0.6121699766836305,0.0704874743121885,0.6380124290784199
concat,eval,pearson_corr,0.9477144479751587,0.02414914034307003,0.9549579620361328
concat,eval,psd_corr,0.9894008040428162,0.008810232393443584,0.9938690662384033
concat,eval,snr,10.35024642728377,1.5112573076700972,10.592593252658844
concat,eval,mse_bp,0.13592437460370685,0.07123682623283292,0.1149492897093296
concat,eval,mae_bp,0.2503684746182483,0.06266793150082153,0.22183255851268768
concat,eval,ssim_bp,0.5776691216489543,0.09263410947545041,0.6079434752464294
concat,eval,pearson_corr_bp,0.9294819831848145,0.039576657116413116,0.94091796875
concat,eval,psd_corr_bp,0.9783381819725037,0.022137634456157684,0.9899308085441589
concat,eval,snr_bp,9.136900960103326,1.9320411366262644,9.395802915096283
concat,eval,mse_breath_upper,0.08740984778041425,0.035392764654415515,0.07379168644547462
concat,eval,mae_breath_upper,0.2224523321441982,0.04178528887303512,0.21315354853868484
concat,eval,ssim_breath_upper,0.5791264746500098,0.10520793184972398,0.5804369449615479
concat,eval,pearson_corr_breath_upper,0.9604058265686035,0.018667735159397125,0.9663640260696411
concat,eval,psd_corr_breath_upper,0.9961594939231873,0.005759735591709614,0.998740553855896
concat,eval,snr_breath_upper,10.880674771640612,1.5514806571721806,11.32037103176117
concat,eval,mse_ppg_fing,0.09149481825854468,0.05567907110699769,0.0761512964963913
concat,eval,mae_ppg_fing,0.20754005436016165,0.05414347144715327,0.19979120045900345
concat,eval,ssim_ppg_fing,0.6797143337519272,0.0842197858686973,0.6936025321483612
concat,eval,pearson_corr_ppg_fing,0.9532554745674133,0.029905250295996666,0.9612447023391724
concat,eval,psd_corr_ppg_fing,0.9937044382095337,0.007053726352751255,0.9956861734390259
concat,eval,snr_ppg_fing,11.033163550107375,2.290544345431329,11.183228492736816
concat,test,mse,0.18016142816883873,0.17242500703816704,0.10107681651910146
concat,test,mae,0.261165736996113,0.10054241597911387,0.223770871758461
concat,test,ssim,0.570707236898812,0.12474887669458,0.6119722723960876
concat,test,pearson_corr,0.898296058177948,0.11387459188699722,0.9494382739067078
concat,test,psd_corr,0.9803197979927063,0.0222967229783535,0.9884398579597473
concat,test,snr,9.424177877248285,2.437927365184678,10.095645586649576
concat,test,mse_bp,0.2612128453527359,0.27917029524739667,0.1318533718585968
concat,test,mae_bp,0.31028651208319563,0.16657042522821458,0.23614047467708588
concat,test,ssim_bp,0.5140972013803239,0.18709602059627642,0.5819308757781982
concat,test,pearson_corr_bp,0.85268634557724,0.1729985624551773,0.9327002167701721
concat,test,psd_corr_bp,0.9654110670089722,0.04777086153626442,0.9872713685035706
concat,test,snr_bp,7.623057151213288,3.6509384427708707,8.79908800125122
concat,test,mse_breath_upper,0.07266419709838451,0.039764460186660064,0.060394663363695145
concat,test,mae_breath_upper,0.19859568061346702,0.03707581416494486,0.191740021109581
concat,test,ssim_breath_upper,0.6505405078542993,0.09034660550999561,0.6700796484947205
concat,test,pearson_corr_breath_upper,0.965449333190918,0.02136450819671154,0.9725092053413391
concat,test,psd_corr_breath_upper,0.9976873993873596,0.003019895637407899,0.9989270567893982
concat,test,snr_breath_upper,11.861325527759309,1.9280428126032165,12.190014123916626
concat,test,mse_ppg_fing,0.20660724205539582,0.2541784038482523,0.10388397425413132
concat,test,mae_ppg_fing,0.2746150182916763,0.14450146364612224,0.22284303605556488
concat,test,ssim_ppg_fing,0.5474840014618128,0.18315664076259144,0.5868770480155945
concat,test,pearson_corr_ppg_fing,0.8767522573471069,0.18185877799987793,0.9467366933822632
concat,test,psd_corr_ppg_fing,0.9778610467910767,0.023783544078469276,0.9835231900215149
concat,test,snr_ppg_fing,8.788150952772257,3.6290809680467,9.834514260292053
gated,eval,mse,0.12427071249787358,0.058149683821411585,0.09872018297513327
gated,eval,mae,0.2417865086184896,0.051514783931456136,0.22920452803373337
gated,eval,ssim,0.60346882045269,0.08095876426621355,0.6189012825489044
gated,eval,pearson_corr,0.9366914629936218,0.03195760399103165,0.9498755931854248
gated,eval,psd_corr,0.9872373342514038,0.008920674212276936,0.9900625944137573
gated,eval,snr,9.749046484197395,1.8624320950788642,10.28459370136261
gated,eval,mse_bp,0.15009944157108016,0.08324641422654554,0.1200251579284668
gated,eval,mae_bp,0.25900614812322287,0.06463693806107312,0.24004635214805603
gated,eval,ssim_bp,0.5775716291821521,0.0892505210231302,0.5929058194160461
gated,eval,pearson_corr_bp,0.9220070838928223,0.04722044616937637,0.9395950436592102
gated,eval,psd_corr_bp,0.9737682938575745,0.020856551826000214,0.9804794192314148
gated,eval,snr_bp,8.76409438641175,2.0564561586932784,9.207290410995483
gated,eval,mse_breath_upper,0.12709865970132145,0.061391151003805634,0.11645369231700897
gated,eval,mae_breath_upper,0.262826608898847,0.05798333232042163,0.2627442181110382
gated,eval,ssim_breath_upper,0.5247001518373904,0.1125572913116536,0.5447894632816315
gated,eval,pearson_corr_breath_upper,0.936886727809906,0.03371239826083183,0.9441331028938293
gated,eval,psd_corr_breath_upper,0.9947823286056519,0.006026447284966707,0.9972454309463501
gated,eval,snr_breath_upper,9.435315890156705,2.0729630974416047,9.342609941959381
gated,eval,mse_ppg_fing,0.09561403622121914,0.06848993455173003,0.07499917596578598
gated,eval,mae_ppg_fing,0.20352676883339882,0.0649425034000828,0.1859891563653946
gated,eval,ssim_ppg_fing,0.7081346803385279,0.10198803819485239,0.7348020672798157
